chps_zbasin,aec_b,aec_t,rivbasin,rivbasin_g,taelev_m,elev_m,notes
PLLC1HUF,5001,10194,Feather,FeatherYuba,1788,1788,
PLLC1HLF,4498,5000,Feather,FeatherYuba,1418,1418,
IIFC1HUF,3320,5000,Feather,FeatherYuba,1810,1810,
IIFC1HLF,5001,8159,Feather,FeatherYuba,1200,1200,
MFTC1HUF,1525,2613,Feather,FeatherYuba,1849,1849,aec in meters
MFTC1HLF,4400,5000,Feather,FeatherYuba,1521,1521,
MRMC1LUF,5001,7467,Feather,FeatherYuba,1745,1745,
MRMC1LLF,1883,5000,Feather,FeatherYuba,1347,1347,
SCBC1HUF,5003,7513,Feather,FeatherYuba,1781,1781,
SCBC1HLF,3232,5000,Feather,FeatherYuba,1280,1280,
NFEC1LUF,5001,6785,Feather,FeatherYuba,1676,1676,
NFEC1LLF,2510,5000,Feather,FeatherYuba,1195,1195,
PLGC1LUF,5001,7513,Feather,FeatherYuba,1745,1745,
PLGC1LLF,1519,5000,Feather,FeatherYuba,1092,1092,
WBGC1HUF,5001,6841,Feather,FeatherYuba,1750,1750,
WBGC1HLF,1762,5000,Feather,FeatherYuba,1062,1062,
ORDC1LUF,5001,6955,Feather,FeatherYuba,1676,1676,
ORDC1LLF,400,5000,Feather,FeatherYuba,815,815,
GYRC1HUF,5000,8012,Yuba,FeatherYuba,1920,1920,
GYRC1HLF,2453,5000,Yuba,FeatherYuba,1280,1280,
JKRC1HOF,5998,7943,Yuba,FeatherYuba,2088,2088,
OURC1LUF,5000,7366,Yuba,FeatherYuba,1813,1813,
OURC1LLF,2313,5000,Yuba,FeatherYuba,913,913,
NBBC1LUF,5000,7344,Yuba,FeatherYuba,1692,1692,
NBBC1LLF,1610,5000,Yuba,FeatherYuba,1063,1063,
BWKC1HOF,5509,7851,Yuba,FeatherYuba,2027,2027,
FOCC1HOF,6494,8514,Yuba,FeatherYuba,2217,2217,
SUAC1LOF,4997,8691,Yuba,FeatherYuba,2027,2027,
JNSC1LUF,5000,7474,Yuba,FeatherYuba,1753,1753,
JNSC1LLF,1391,5000,Yuba,FeatherYuba,1052,1052,
NFDC1HUF,5000,9006,American,American,1900,1900,
NFDC1HLF,804,5000,American,American,1100,1100,
FMDC1HOF,5200,8508,American,American,1920,1920,
NMFC1HUF,5000,6759,American,American,1646,1646,
NMFC1HLF,1867,5000,American,American,1250,1250,
RBBC1HOF,6584,9252,American,American,2331,2331,
