basin_8,swe_vol
PLLC1HUF,653832.2
PLLC1HLF,80445.87
PLLC1HTF,734278.06
IIFC1HUF,1109460.6
IIFC1HLF,21680.115
IIFC1HTF,1131140.8
MFTC1HUF,115910.26
MFTC1HLF,0
MFTC1HTF,115910.26
MRMC1LUF,838221.4
MRMC1LLF,19640.346
MRMC1LTF,857861.75
SCBC1HUF,142402.05
SCBC1HLF,1247.4824
SCBC1HTF,143649.53
NFEC1LUF,72636.76
NFEC1LLF,56.641613
NFEC1LTF,72693.4
PLGC1LUF,729615.7
PLGC1LLF,1912.5072
PLGC1LTF,731528.2
WBGC1HUF,157937.64
WBGC1HLF,16.720793
WBGC1HTF,157954.38
ORDC1LUF,296727.88
ORDC1LLF,0
ORDC1LTF,296727.88
GYRC1HUF,422006.22
GYRC1HLF,5757.467
GYRC1HTF,427763.7
JKRC1HOF,114043.91
JKRC1HTF,114043.91
OURC1LUF,90681.55
OURC1LLF,1202.2137
OURC1LTF,91883.76
NBBC1LUF,134401.69
NBBC1LLF,6791.185
NBBC1LTF,141192.88
BWKC1HOF,90434.984
BWKC1HTF,90434.984
FOCC1HOF,122421.82
FOCC1HTF,122421.82
SUAC1LOF,261893.14
SUAC1LTF,261893.14
JNSC1LUF,46923.137
JNSC1LLF,508.47617
JNSC1LTF,47431.613
HLEC1LOF,0
HLEC1LTF,0
NFDC1HUF,476654.53
NFDC1HLF,99.45235
NFDC1HTF,476754
FMDC1HOF,202009.08
FMDC1HTF,202009.08
NMFC1HUF,72563.74
NMFC1HLF,606.98047
NMFC1HTF,73170.72
RBBC1HOF,124098.37
RBBC1HTF,124098.37
HLLC1LUF,239773.56
HLLC1LLF,230.92842
HLLC1LTF,240004.47
LNLC1HOF,29307.889
LNLC1HTF,29307.889
RRGC1LOF,95709.805
RRGC1LTF,95709.805
RUFC1LUF,18494.824
RUFC1LLF,1436.6556
RUFC1LTF,19931.48
MFAC1LUF,50897.55
MFAC1LLF,54.389954
MFAC1LTF,50951.94
ICHC1HOF,73174.5
ICHC1HTF,73174.5
UNVC1HUF,192449.52
UNVC1HLF,149.23137
UNVC1HTF,192598.75
SVCC1LUF,21313.512
SVCC1LLF,558.082
SVCC1LTF,21871.594
AKYC1HUF,429562.22
AKYC1HLF,219.399
AKYC1HTF,429781.62
CBAC1LUF,30299.324
CBAC1LLF,0
CBAC1LTF,30299.324
CMPC1HUF,290434.97
CMPC1HMF,589532.7
CMPC1HTF,879967.6
NDVC1HUF,22532.281
NDVC1HMF,49680.812
NDVC1HTF,72213.09
NSWC1HUF,55133.41
NSWC1HMF,55019.438
NSWC1HTF,110152.86
AVYC1LMF,150116.48
AVYC1LTF,150116.48
NMSC1LUF,468321.28
NMSC1LMF,230711.72
NMSC1LTF,699033.06
HETC1HUF,761298.6
HETC1HMF,195662.98
HETC1HTF,956961.6
LNRC1HUF,56564.99
LNRC1HMF,111455.82
LNRC1HTF,168020.81
CHVC1HUF,257536.36
CHVC1HMF,88496.32
CHVC1HTF,346032.7
NDPC1LUF,67575.83
NDPC1LMF,399908.2
NDPC1LTF,467484
HPIC1HUF,303975.72
HPIC1HMF,70046.734
HPIC1HTF,374022.47
POHC1LUF,147051.05
POHC1LMF,137822.02
POHC1LTF,284873.06
EXQC1LUF,151702.38
EXQC1LMF,265067.06
EXQC1LTF,416769.44
FRAC1HUF,1526682.2
FRAC1HMF,510097.75
FRAC1HTF,2036780
PFTC1HUF,1886319.2
PFTC1HMF,267093.7
PFTC1HTF,2153413
KTRC1HUF,322124.62
KTRC1HMF,66852.57
KTRC1HTF,388977.2
TMDC1LUF,47257.59
TMDC1LMF,3871.286
TMDC1LTF,51128.875
SCSC1HUF,31262.465
SCSC1HMF,41520.914
SCSC1HTF,72783.375
KKVC1HUF,667772
KKVC1HMF,141030.27
KKVC1HTF,808802.25
SKRC1HUF,136662.69
SKRC1HMF,67551.84
SKRC1HTF,204214.53
ISAC1LUF,17522.328
ISAC1LMF,0
ISAC1LTF,17522.328
TAHC1HOF,455984.28
TAHC1HTF,455984.28
TRCC1LOF,98512.52
TRCC1LTF,98512.52
DNRC1HOF,31755.904
DNRC1HTF,31755.904
MTSC1HUF,46274.914
MTSC1HLF,3517.0854
MTSC1HTF,49792
PSRC1HUF,91535.15
PSRC1HLF,10018.453
PSRC1HTF,101553.59
ILAC1HOF,21012.113
ILAC1HTF,21012.113
SGNC1HOF,17472.092
SGNC1HTF,17472.092
STPC1LUF,169127.3
STPC1LLF,9184.476
STPC1LTF,178311.78
BCAC1LUF,13047.749
BCAC1LLF,17084.465
BCAC1LTF,30132.213
FARC1LUF,169796.11
FARC1LLF,18528.738
FARC1LTF,188324.84
WOOC1HOF,126580.2
WOOC1HTF,126580.2
CEMC1HUF,281173.5
CEMC1HLF,140810.73
CEMC1HTF,421984.22
WWBC1HUF,338049.97
WWBC1HLF,55981.406
WWBC1HTF,394031.38
BPRC1HUF,372497.03
BPRC1HLF,71668.03
BPRC1HTF,444165.06
