Basin,MinElev_m
DIXN2,1570
HRCN2,1505
LCLN2,1912
MARN2,1418
BCAC1,1680
FTCN2,1284
GRDN2,1522
HOYN2,1512
LWON2,1527
MASN2,1348
MTSC1,1749
NIXN2,1207
SCRN2,1402
SCWN2,1335
SGNC1,1928
STWN2,1409
WADN2,1236
WALN2,1221
WWHN2,1386
ACSC1,84
AHOC1,240
ALQC1,99
ALRC1,176
ANDC1,189
AWEC1,94
BSRC1,73
BTEC1,68
CADC1,144
CHLC1,23
CMIC1,3
CVQC1,222
CYEC1,54
GSJC1,7
GUAC1,128
GUDC1,41
HOSC1,76
LEXC1,188
LRRC1,1
LRZC1,41
LWDC1,245
MPTC1,277
NILC1,25
RDRC1,85
SFCC1,34
SOLC1,106
SPRC1,4
APCC1,10
CTIC1,24
GSRC1,16
GUEC1,-7
HEAC1,21
HNEC1,81
LSEC1,14
MWEC1,13
SHEC1,59
SSAC1,40
DEPC1,420
DKHC1,915
ELPC1,223
FSNC1,6
HAWC1,817
KNBC1,796
LKMC1,399
MSYC1,719
MUTC1,295
MVDC1,908
MVVC1,808
MWXC1,210
PCNC1,205
SHRC1,83
SLOC1,6
SMHC1,289
SREC1,291
SRWC1,627
SVIC1,148
SVWC1,966
TEKC1,484
TIMC1,316
TSLC1,178
VLKC1,410
WFMC1,920
WIPC1,316
YDRC1,22
PRBC1,202
BTJC1,688
CCHC1,209
CLLC1,20
CSKC1,363
EFBC1,417
GARC1,111
HANC1,303
HSAC1,188
LKPC1,299
LLYC1,242
NRWC1,25
SCPC1,218
SESC1,163
SLUC1,65
SSQC1,190
TWDC1,150
VCAC1,12
VRVC1,66
BCKC1,118
BHNC1,131
BNCC1,83
HIDC1,123
LTDC1,92
MEEC1,53
MPAC1,111
OWCC1,106
POHC1,1177
DLMC1,173
KTRC1,240
MLPC1,171
SCSC1,188
TMDC1,154
TVRC1,292
ANTC1,1525
DVSC1,1742
FHDC1,1674
CBAC1,291
FOLC1,59
ICHC1,1646
LNLC1,1925
MFAC1,319
MFPC1,776
NIMC1,25
NMFC1,390
RRGC1,1515
RUFC1,359
SVCC1,836
UNVC1,1383
HCHC1,252
HOUC1,471
INVC1,449
BWKC1,1653
CFWC1,74
DCSC1,190
DCWC1,21
DMCC1,321
HCTC1,185
HLEC1,99
JNSC1,325
MRYC1,17
NBBC1,420
NCOC1,7
NFEC1,698
ORDC1,249
OURC1,597
PLGC1,394
ROLC1,601
WBGC1,482
YUBC1,12
SACC1,3
SAMC1,6
CMCC1,33
EDOC1,255
FRGC1,32
MCNC1,9
MHBC1,53
MRWC1,8
MSGC1,34
NHGC1,161
SOSC1,505
THTC1,1
AVYC1,1031
DCMC1,20
DRYC1,56
KNFC1,75
MOSC1,0
NDVC1,2036
NSWC1,1949
OBBC1,36
RIPC1,14
BDBC1,87
