NAME,ZONE-CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
ACSC1HOF,230,451588,101607300,84,1163,1079,494.422498,281.551574,223275267,1080,140,1162,450
ADLC1LOF,234,2493188,560967300,81,1231,1150,331.245002,240.515699,825856065,1151,110,1222,242
ADOC1LOF,30,4592915,1033405875,148,3055,2907,496.055864,489.127266,2278342418,2908,235,3041,309
AHOC1HOF,237,891412,200567700,240,1334,1094,816.170315,164.565412,727544013,1091,726,1315,807
AKYC1HLF,442,83280,18738000,1169,1544,375,1398.283742,93.363247,116449070,370,1499,1536,1420
AKYC1HUF,443,2133796,480104100,1512,3157,1645,2192.185088,311.984243,4677675773,1618,2378,3053,2203
ALQC1HOF,227,456508,102714300,99,641,542,212.795603,93.448252,97142895,543,103,638,193
ALRC1HOF,456,138071,31065975,176,1155,979,546.947983,220.808071,75517655,963,184,176,509
ANDC1LOF,242,933768,210097800,189,1016,827,480.749474,186.295782,448908475,827,191,994,461
ANTC1HOF,473,816831,183786975,1525,2380,855,1833.714203,179.14661,1497834606,849,1525,2371,1842
APCC1LOF,12,1007008,226576800,10,819,809,196.581544,173.807712,197959187,807,49,819,128
ARCC1LOF,168,4194984,943871400,9,1789,1780,694.281439,407.813448,2912499530,1781,24,9,697
AROC1LOF,244,4979672,1120426200,26,1152,1126,219.384772,181.809556,1092464208,1127,43,1117,157
AVYC1LLF,348,185260,41683500,1031,1543,512,1360.837968,112.140905,252108842,512,1463,1541,1379
AVYC1LMF,349,864970,194618250,1509,2608,1099,2011.69885,209.460872,1740059154,1094,2157,1509,2039
AWEC1LOF,231,193856,43617600,94,891,797,420.238899,175.367908,81465832,798,331,887,400
BCAC1LLF,124,245390,55212750,1680,1841,161,1766.449912,36.163707,433469144,162,1709,1839,1768
BCAC1LUF,125,171359,38555775,1814,2563,749,1982.989799,149.837615,339803149,745,1833,1816,1937
BCKC1HOF,318,829413,186617925,118,1277,1159,480.038577,214.564863,398150236,1160,316,118,440
BDBC1LOF,273,5754074,1294666650,87,2053,1966,335.413339,310.227661,1929993172,1967,149,2051,206
BHNC1HOF,315,2691749,605643525,131,1963,1832,658.154861,341.31561,1771587689,1829,179,137,578
BKCC1HLF,299,1235309,277944525,99,1524,1425,890.006838,380.373215,1099433457,1426,776,99,891
BKCC1HUF,300,468844,105489900,1525,2189,664,1772.930804,164.195686,831227970,665,1552,2185,1771
BLBC1LLF,302,4773086,1073944350,112,1524,1412,648.845778,420.566632,3096996697,1413,144,120,550
BLBC1LUF,303,294601,66285225,1525,2103,578,1689.327871,129.356322,497677680,579,1527,2102,1658
BLKC1HOF,169,780268,175560300,264,1621,1357,893.455843,295.358797,697135004,1358,929,1604,878
BNCC1HOF,319,833468,187530300,83,904,821,255.554465,135.965492,212996469,822,128,894,254
BOYO3LLF,80,1112536,250320600,1000,1552,552,1333.698294,102.55149,1483787365,551,1506,1548,1318
BOYO3LUF,81,687879,154772775,1497,2499,1002,1713.904499,185.34757,1178958913,1001,1573,1497,1649
BPRC1HLF,154,2010359,452330775,1958,2468,510,2200.00347,147.726065,4422796775,509,1968,2461,2217
BPRC1HUF,155,2124743,478067175,2412,3774,1362,2810.826523,281.792208,5972283980,1361,2464,2412,2758
BRDC1LOF,259,6625388,1490712300,138,1198,1060,390.992631,159.373299,2590477886,1061,238,1186,366
BRGC1HOF,170,2546480,572958000,111,1791,1680,922.868671,321.773977,2350066613,1681,954,1791,938
BSCC1HOF,485,979982,220495950,97,1371,1274,638.842571,216.933353,626054220,1275,658,97,642
BSRC1HOF,249,536852,120791700,73,1516,1443,776.689015,247.09508,416967051,1439,790,1501,776
BTEC1HOF,239,1230192,276793200,68,983,915,363.535301,173.318101,447218219,916,174,980,329
BTJC1HOF,475,946048,212860800,688,2163,1475,1375.624865,251.610267,1301407152,1470,1317,688,1362
BTYO3HLF,82,2155769,485048025,1314,1560,246,1411.844301,60.470723,3043610176,246,1323,1560,1412
BTYO3HUF,83,3897475,876931875,1484,2539,1055,1768.651625,188.133657,6893275492,1053,1580,1485,1721
BURC1LLF,108,3474742,781816950,288,1587,1299,985.859652,295.057022,3425607940,1298,1064,1579,992
BURC1LUF,109,947714,213235650,1468,2730,1262,1847.136206,257.884154,1750556842,1258,1563,1475,1780
BWKC1HOF,214,326900,73552500,1653,2543,890,2012.9568,170.03692,658035578,872,1694,1653,2032
CADC1HOF,455,80333,18074925,144,559,415,243.922635,87.156585,19595037,416,145,542,224
CBAC1LLF,444,2337078,525842550,291,1538,1247,1001.19821,259.213947,2339878310,1248,890,1535,981
CBAC1LUF,445,352724,79362900,1508,2273,765,1759.763727,152.758747,620710901,760,1734,1508,1735
CCHC1LOF,43,1616564,363726900,209,2004,1795,790.563091,426.880104,1277995832,1790,229,213,742
CDLC1LOF,6,1617689,363980025,112,1100,988,470.047296,223.286276,760390340,981,153,1058,448
CEGC1LLF,496,3692860,830893500,719,1524,805,1052.000114,232.675709,3884889142,806,721,719,1016
CEGC1LUF,497,2564930,577109250,1525,2708,1183,1861.682588,206.005523,4775085520,1177,1787,2636,1843
